Region,Total Homes Sold,Adjusted Average Homes Sold,Adjusted Average New Listings,Adjusted Pending Sales
"Reading, PA metro area",577.4,103.7929203539823,119.62300884955752,82.06371681415929
"Reagan County, TX",1.5520833333333333,1.0208333333333333,1.1354166666666667,1.03125
"Real County, TX",5.965065502183406,1.2860262008733625,1.296943231441048,1.1441048034934498
"Red Bluff, CA metro area",62.28421052631579,10.783625730994151,13.209356725146199,6.298245614035087
"Red Lake County, MN",3.4854368932038833,1.0194174757281553,1.0606796116504855,1.0436893203883495
"Red River County, TX",6.686111111111111,1.175,1.1305555555555555,1.1027777777777779
"Red River Parish, LA",1.0,1.0,1.0,1.0
"Red Willow County, NE",1.3793103448275863,1.0,1.0,1.0
"Red Wing, MN metro area",71.7,12.465346534653465,13.470297029702971,9.564356435643564
"Redding, CA metro area",220.9513590844063,39.329041487839774,47.19170243204578,26.108726752503575
"Redwood County, MN",20.063253012048193,3.318273092369478,3.505020080321285,2.1566265060240966
"Reeves County, TX",4.726775956284153,1.1721311475409837,1.2595628415300546,1.180327868852459
"Refugio County, TX",5.888468809073724,1.274102079395085,1.3194706994328922,1.0472589792060492
"Reno County, KS",86.97359154929578,15.375,17.12676056338028,8.38556338028169
"Reno, NV metro area",861.1929203539823,154.96283185840707,173.53628318584072,106.03362831858406
"Rensselaer County, NY",197.75224646983312,35.116816431322206,43.23748395378691,26.603337612323493
"Renville County, MN",17.20497803806735,2.841874084919473,3.1390922401171304,2.0190336749633966
"Renville County, ND",4.530927835051546,1.0309278350515463,1.0721649484536082,1.0721649484536082
"Republic County, KS",1.1818181818181819,1.0,1.0,1.0
"Rexburg, ID metro area",49.54100367197062,8.611995104039167,10.10281517747858,6.200734394124847
"Reynolds County, MO",4.179271708683474,1.0896358543417366,1.0952380952380953,1.1036414565826331
"Rhea County, TN",51.89943074003795,8.795066413662239,6.325426944971537,3.598671726755218
"Rice County, KS",10.89202657807309,1.7624584717607974,1.8222591362126246,1.323920265780731
"Rice County, MN",94.08868778280544,16.415384615384614,17.813574660633485,13.296832579185521
"Rich County, UT",14.591240875912408,2.3661800486618003,3.32360097323601,1.6812652068126521
"Richardson County, NE",2.193717277486911,1.0261780104712042,1.0261780104712042,1.0261780104712042
"Richland County, IL",5.907600596125186,1.2146050670640836,1.301043219076006,1.1549925484351713
"Richland County, MT",2.1372549019607843,1.0,1.0294117647058822,1.0
"Richland County, ND",17.926931106471816,2.922755741127349,3.1106471816283925,1.9791231732776617
"Richland County, OH",140.42467532467532,24.876623376623378,25.23896103896104,18.607792207792208
"Richland County, SC",739.0082135523614,125.78028747433265,151.32854209445586,87.74845995893224
"Richland County, WI",19.28997020854022,3.143992055610725,3.669314796425025,2.0724925521350546
"Richland Parish, LA",9.762013729977117,1.6132723112128147,1.654462242562929,1.2906178489702518
"Richmond City County, VA",373.1501272264631,66.30152671755725,73.35368956743002,57.829516539440206
"Richmond County, GA",278.37150466045273,49.55126498002663,53.597869507323566,32.19573901464714
"Richmond County, NC",35.403636363636366,6.0193939393939395,6.921212121212121,3.8084848484848486
"Richmond County, NY",479.522133938706,85.49489216799093,116.17480136208853,61.14528944381385
"Richmond County, VA",7.742424242424242,1.2651515151515151,1.4217171717171717,1.0833333333333333
"Richmond, IN metro area",10.908127208480565,1.8386336866902238,2.1896348645465253,1.5063711318128281
"Richmond, KY metro area",161.78053097345133,28.84424778761062,34.15221238938053,22.276106194690264
"Richmond, VA metro area",2318.512960436562,415.2387448840382,466.6180081855389,344.4256480218281
"Riley County, KS",65.9609756097561,11.492682926829268,16.836585365853658,9.673170731707318
"Ringgold County, IA",8.179624664879357,1.5683646112600536,1.383378016085791,1.1823056300268096
"Rio Arriba County, NM",13.760683760683762,2.017094017094017,2.831908831908832,1.207977207977208
"Rio Blanco County, CO",12.407172995780591,1.981012658227848,2.6561181434599157,1.2088607594936709
"Rio Grande City, TX metro area",8.316473988439306,1.4219653179190752,2.351156069364162,1.1690751445086704
"Rio Grande County, CO",19.036057692307693,2.8846153846153846,3.7451923076923075,1.2451923076923077
"Ripley County, IN",28.053171641791046,4.650186567164179,4.522388059701493,3.1203358208955225
"Ripley County, MO",8.437325905292479,1.4818941504178273,1.7688022284122562,1.2423398328690807
"Riverside County, CA",3878.8977272727275,691.146590909091,797.7534090909091,530.3613636363636
"Riverside, CA metro area",6466.777542372882,1164.1292372881355,1396.8792372881355,811.9025423728814
"Riverton, WY metro area",47.19032258064516,8.037096774193548,7.974193548387097,2.793548387096774
"Roane County, TN",70.70189701897019,12.544715447154472,11.894308943089431,4.7831978319783195
"Roanoke City County, VA",154.35744680851064,27.203191489361704,30.45212765957447,20.136170212765958
"Roanoke County, VA",176.44425675675674,31.3902027027027,35.954391891891895,18.929054054054053
"Roanoke Rapids, NC metro area",44.94259818731118,7.688821752265861,7.7975830815709966,3.2673716012084593
"Roanoke, VA metro area",510.09308885754587,91.07334273624824,104.07334273624824,56.141043723554304
"Roberts County, SD",2.992619926199262,1.1291512915129152,1.047970479704797,1.088560885608856
"Roberts County, TX",1.0,1.0,1.0,1.0
"Robertson County, KY",2.9270833333333335,1.1631944444444444,1.15625,1.0208333333333333
"Robertson County, TN",141.52459016393442,25.030264817150062,27.900378310214375,18.97982345523329
"Robertson County, TX",12.702269692923899,1.9866488651535381,2.315086782376502,1.3324432576769025
